"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Lomb-dime-571","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.984,0.094,-867.443,-926.837,-867.443,-926.837
"Lomb-dime-572","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.987,0.675,-540.917,-1020.954,-540.917,-1020.954
"Lomb-dime-573","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.938,0.479,-724.749,-725.432,-724.749,-725.432
"Lomb-dime-574","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.903,0.64,-784.288,-1062.133,-784.288,-1062.133
"Lomb-dime-575","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.908,0.208,-511.58,-862.427,-511.58,-862.427
"Lomb-dime-576","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.959,0.343,-850.351,-825.786,-850.351,-825.786
"Lomb-dime-577","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.921,0.325,-621.821,-1081.614,-621.821,-1081.614
"Lomb-dime-578","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.952,0.619,-622.721,-737.479,-622.721,-737.479
"Lomb-dime-579","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.934,0.909,-848.857,-989.097,-848.857,-989.097
"Lomb-dime-580","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.921,0.603,-511.751,-963.585,-511.751,-963.585
"Lomb-dime-581","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.981,0.519,-785.111,-749.333,-785.111,-749.333
"Lomb-dime-582","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.984,0.021,-721.882,-1090.267,-721.882,-1090.267
"Lomb-dime-583","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.979,0.919,-542.255,-801.036,-542.255,-801.036
"Lomb-dime-584","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.98,0.136,-864.987,-886.837,-864.987,-886.837
"Lomb-dime-585","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.995,0.402,-566.731,-1047.602,-566.731,-1047.602
"Lomb-dime-586","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.934,0.335,-687.363,-724.805,-687.363,-724.805
"Lomb-dime-587","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.997,0.641,-812.536,-1039.656,-812.536,-1039.656
"Lomb-dime-588","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.967,0.793,-502.568,-900.838,-502.568,-900.838
"Lomb-dime-589","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.976,0.462,-829.105,-794.185,-829.105,-794.185
"Lomb-dime-590","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.926,0.69,-660.296,-1091.399,-660.296,-1091.399
"Lomb-dime-591","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.962,0.288,-590,-757.104,-590,-757.104
"Lomb-dime-592","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.902,0.994,-862.201,-950.947,-862.201,-950.947
"Lomb-dime-593","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.99,0.689,-529.177,-1000.196,-529.177,-1000.196
"Lomb-dime-594","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.989,0.489,-750.19,-734.923,-750.19,-734.923
"Lomb-dime-595","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.983,0.261,-760.217,-1075.99,-760.217,-1075.99
"Lomb-dime-596","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.91,0.468,-524.632,-837.254,-524.632,-837.254
"Lomb-dime-597","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.924,0.578,-858.815,-849.194,-858.815,-849.194
