"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Lomb-rico-1393","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.349,0.47,-582.657,-899.005,-582.657,-899.005
"Lomb-rico-1394","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.35,0.091,-774.475,-841.519,-774.475,-841.519
"Lomb-rico-1395","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.52,0.516,-661.858,-1015.096,-661.858,-1015.096
"Lomb-rico-1396","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.385,0.418,-629.354,-807.313,-629.354,-807.313
"Lomb-rico-1397","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.144,0.613,-794.609,-936.519,-794.609,-936.519
"Lomb-rico-1398","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.603,0.624,-589.108,-954.252,-589.108,-954.252
"Lomb-rico-1399","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.192,0.409,-731.002,-801.614,-731.002,-801.614
"Lomb-rico-1400","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.285,0.233,-724.343,-1010.016,-724.343,-1010.016
"Lomb-rico-1401","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.489,0.364,-584.657,-858.116,-584.657,-858.116
"Lomb-rico-1402","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.361,0.97,-787.738,-885.389,-787.738,-885.389
"Lomb-rico-1403","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.206,0.715,-623.887,-998.142,-623.887,-998.142
"Lomb-rico-1404","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.558,0.483,-669.089,-795.869,-669.089,-795.869
"Lomb-rico-1405","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.421,0.1,-769.043,-972.9,-769.043,-972.9
"Lomb-rico-1406","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.157,0.93,-571.532,-916.8,-571.532,-916.8
"Lomb-rico-1407","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.185,0.802,-761.623,-823.097,-761.623,-823.097
"Lomb-rico-1408","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.192,0.368,-688.074,-1013.105,-688.074,-1013.105
"Lomb-rico-1409","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.282,0.719,-616.792,-824.507,-616.792,-824.507
"Lomb-rico-1410","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.257,0.219,-792.588,-913.988,-792.588,-913.988
"Lomb-rico-1411","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.436,0.013,-599.997,-972.019,-599.997,-972.019
"Lomb-rico-1412","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.288,0.449,-698.732,-795.377,-698.732,-795.377
"Lomb-rico-1413","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.542,0.071,-746.373,-1002.386,-746.373,-1002.386
"Lomb-rico-1414","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.368,0.86,-577.077,-880.953,-577.077,-880.953
"Lomb-rico-1415","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.441,0.461,-782.47,-852.679,-782.47,-852.679
"Lomb-rico-1416","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.561,0.597,-650.564,-1010.8,-650.564,-1010.8
"Lomb-rico-1417","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.29,0.729,-646.534,-800.317,-646.534,-800.317
"Lomb-rico-1418","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.437,0.034,-786.742,-954.346,-786.742,-954.346
"Lomb-rico-1419","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.147,0.35,-577.127,-937.07,-577.127,-937.07
"Lomb-rico-1420","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.224,0.197,-738.97,-806.873,-738.97,-806.873
"Lomb-rico-1421","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.257,0.761,-707.467,-1013.526,-707.467,-1013.526
"Lomb-rico-1422","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.342,0.538,-597.269,-844.86,-597.269,-844.86
"Lomb-rico-1423","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.515,0.508,-798.296,-894.948,-798.296,-894.948
"Lomb-rico-1424","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.602,0.572,-614.431,-983.049,-614.431,-983.049
"Lomb-rico-1425","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.427,0.042,-682.205,-794.892,-682.205,-794.892
"Lomb-rico-1426","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.152,0.282,-761.93,-981.859,-761.93,-981.859
"Lomb-rico-1427","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.374,0.528,-571.195,-901.116,-571.195,-901.116
"Lomb-rico-1428","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.515,0.573,-773.224,-833.549,-773.224,-833.549
"Lomb-rico-1429","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.615,0.749,-668.792,-1019.676,-668.792,-1019.676
"Lomb-rico-1430","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.252,0.301,-620.409,-810.928,-620.409,-810.928
"Lomb-rico-1431","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.316,0.509,-792.149,-926.124,-792.149,-926.124
"Lomb-rico-1432","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.151,0.43,-584.607,-961.327,-584.607,-961.327
"Lomb-rico-1433","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.386,0.14,-719.098,-794.127,-719.098,-794.127
"Lomb-rico-1434","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.137,0.138,-731.909,-1007.149,-731.909,-1007.149
"Lomb-rico-1435","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.505,0.863,-582.671,-869.179,-582.671,-869.179
"Lomb-rico-1436","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.605,0.011,-788.695,-869.46,-788.695,-869.46
"Lomb-rico-1437","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.594,0.423,-631.268,-1009.932,-631.268,-1009.932
"Lomb-rico-1438","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.578,0.121,-662.821,-799.806,-662.821,-799.806
"Lomb-rico-1439","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.548,0.527,-775.998,-962.493,-775.998,-962.493
"Lomb-rico-1440","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.399,0.981,-576.923,-922.811,-576.923,-922.811
"Lomb-rico-1441","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.298,0.843,-754.903,-817.004,-754.903,-817.004
"Lomb-rico-1442","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.143,0.71,-695.19,-1017.282,-695.19,-1017.282
"Lomb-rico-1443","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.531,0.832,-607.291,-826.14,-607.291,-826.14
"Lomb-rico-1444","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.612,0.548,-801.281,-911.015,-801.281,-911.015
"Lomb-rico-1445","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.365,0.807,-605.017,-982.789,-605.017,-982.789
"Lomb-rico-1446","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.453,0.867,-694.159,-797.791,-694.159,-797.791
"Lomb-rico-1447","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.216,0.679,-751.002,-996.755,-751.002,-996.755
"Lomb-rico-1448","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.54,0.339,-573.477,-884.087,-573.477,-884.087
"Lomb-rico-1449","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.23,0.625,-777.468,-844.813,-777.468,-844.813
"Lomb-rico-1450","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.39,0.385,-657.157,-1014.974,-657.157,-1014.974
"Lomb-rico-1451","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.455,0.48,-637.803,-803.481,-637.803,-803.481
"Lomb-rico-1452","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.314,0.84,-796.845,-943.665,-796.845,-943.665
"Lomb-rico-1453","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.493,0.547,-585.188,-956.577,-585.188,-956.577
"Lomb-rico-1454","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.452,0.102,-730.831,-806.339,-730.831,-806.339
"Lomb-rico-1455","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.583,0.682,-719.497,-1009.746,-719.497,-1009.746
